QUADRAT,SQUARE,ELODEA,CDEM,PPUS,PNOD,PEPI,PPER,PPEC,PCRI,ZPAL,MSPI,VAL,NFLEX,HDUB,PSPI,NMINOR,UTRICULARIA
12,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
15,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,12,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
15,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
16,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
16,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
16,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
16,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
17,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
17,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
